"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"cadeau pour offrir a sa maman","EUR","50","0%","0%","High","100","0.002715906","0.009856935","gift_mothers","high"
"idée cadeau anniversaire de mariage parents","EUR","50","0%","0%","High","100","0","0","gift_anniversary","high"
"cadre acrylique personnalisé","EUR","50","0%","0%","High","100","0.004875003","0.014044404","physical_products","medium"
"produits photos personnalisés","EUR","50","0%","0%","High","79","0.008552609","0.0209869","gift_personalized","high"
"cadeau personnalisé photobox","EUR","50","0%","0%","High","100","0.007412261","0.037848922","gift_personalized","high"
"porte cle photo fete des peres","EUR","50","0%","0%","Unknown","","0","0","gift_fathers","high"
"site de cadre personnalisé","EUR","50","0%","0%","High","100","0.008338753","0.024225383","physical_products","medium"
"idee cadeau de noel grand parents","EUR","500","0%","0%","High","100","0.001403756","0.004892933","gift_grandparents","high"
"idee original cadeau fete des meres","EUR","5000","0%","0%","High","100","0.0008965","0.009054323","gift_mothers","high"
"bon cadeau pour maman","EUR","50","0%","0%","High","100","0.004615833","0.012540241","gift_mothers","high"
"sweat personnalisé photo brodé","EUR","50","0%","0%","High","100","0.005968081","0.014796812","physical_products","medium"
"photo personnalisé original","EUR","50","900%","900%","High","100","0.005472887","0.014262824","gift_personalized","high"
"porte clé gravure photo recto verso","EUR","50","?","0%","High","100","0","0","physical_products","medium"
"idée cadeau d anniversaire de mariage","EUR","50","0%","0%","High","79","0","0","gift_anniversary","high"
"photo andy warhol personnalisé","EUR","50","0%","0%","High","100","0.003000504","0.01643757","gift_personalized","high"
"noces de perles cadeau","EUR","500","-90%","0%","High","100","0.00213856","0.007349017","gift_anniversary","high"
"cadeau cuir anniversaire de mariage","EUR","50","0%","?","High","100","0","0","gift_anniversary","high"
"noce de chypre cadeau homme","EUR","50","0%","0%","High","100","0.0014344","0.007700771","life_events","medium"
"idee cadeau noce d étain","EUR","500","0%","0%","High","100","0.001247602","0.003132534","life_events","medium"
"cadre avec photo personnalisée","EUR","500","0%","0%","High","100","0.008334189","0.028253765","physical_products","medium"
"cadeau fête des grand mère original","EUR","50","-100%","-100%","Unknown","","0","0","gift_mothers","high"
"boîte bois personnalisée photo","EUR","50","0%","0%","High","100","0.002894228","0.008945765","gift_personalized","high"
"cadeau arriere grand parent","EUR","50","900%","0%","High","100","0.00170987","0.005248925","gift_grandparents","high"
"photo pour porte clés","EUR","5000","900%","0%","High","100","0.004247454","0.011230373","physical_products","medium"
"shooter personnalisé photo","EUR","50","0%","0%","High","100","0.0032437","0.008759945","gift_personalized","high"
"cadeau pour noce de bois","EUR","500","0%","0%","High","100","0.002116718","0.009112025","life_events","medium"
"idée cadeau personnalisé avec photo","EUR","500","0%","0%","High","100","0.004519338","0.013236251","gift_personalized","high"
"noce de coton idée cadeau","EUR","500","0%","0%","High","100","0.001991208","0.005764331","life_events","medium"
"portrait personnalisé super héros","EUR","50","0%","-100%","Unknown","","0","0","gift_personalized","high"
"porte monnaie personnalisé avec photo","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"petit cadeau photo","EUR","50","0%","0%","High","100","0.00446946","0.016006272","gift_personalized","high"
"cadeau noce bois","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"cadeau à partir d une photo","EUR","50","0%","0%","High","100","0.004094886","0.011194513","gift_personalized","high"
"zippo gravure photo","EUR","50","0%","0%","High","100","0","0","gift_personalized","high"
"joyeux noel personnalisé","EUR","50","900%","0%","High","99","0.00252813","0.009898337","gift_personalized","high"
"idee cadeau pour premiere fete des meres","EUR","50","0%","0%","Unknown","","0","0","tools_comparison","high"
"cadeau original 1 an de mariage","EUR","50","0%","0%","High","100","0.001490146","0.004311024","life_events","medium"
"cadeau mamie photo","EUR","50","0%","0%","High","100","0.005595789","0.016423878","gift_grandparents","high"
"toile naissance personnalisé","EUR","50","0%","0%","High","100","0.003673368","0.010621079","physical_products","medium"
"cadeau pour anniversaire mariage","EUR","5000","0%","0%","High","100","0.002073034","0.007570045","gift_anniversary","high"
"cadeau mariage personnalisé photo","EUR","50","0%","0%","High","100","0","0","life_events","medium"
"cadeau a partir d une photo","EUR","50","0%","0%","High","100","0.004955851","0.010811137","gift_personalized","high"
"cadeau personnalisé photo homme","EUR","50","900%","0%","High","100","0.003379642","0.009228081","gift_personalized","high"
